variant,symbol,year,auc,trend_auc,n
lr_y1_pooled,XBRUSD,2023,0.5631285593117654,0.4449897007148915,257
lr_y1_pooled,XBRUSD,2024,0.5668859649122807,0.45394736842105265,62
lr_y1_pooled,XNGUSD,2005,0.5268673780487806,0.4913617886178862,251
lr_y1_pooled,XNGUSD,2006,0.5093307593307592,0.39607464607464604,251
lr_y1_pooled,XNGUSD,2007,0.4828633932912008,0.4202418570734079,257
lr_y1_pooled,XNGUSD,2008,0.47583739837398376,0.5373333333333333,248
lr_y1_pooled,XNGUSD,2009,0.44972613458528954,0.494718309859155,250
lr_y1_pooled,XNGUSD,2010,0.4841035725991479,0.4721402818747951,248
lr_y1_pooled,XNGUSD,2011,0.5033788174139052,0.4711825860948668,249
lr_y1_pooled,XNGUSD,2012,0.4199056964445011,0.5175544794188862,251
lr_y1_pooled,XNGUSD,2013,0.47203282828282817,0.47878787878787876,252
lr_y1_pooled,XNGUSD,2014,0.47256637168141596,0.47518846279908233,248
lr_y1_pooled,XNGUSD,2015,0.5307407407407406,0.47836419753086423,255
lr_y1_pooled,XNGUSD,2016,0.5750977443609022,0.4630375939849624,258
lr_y1_pooled,XNGUSD,2017,0.5520412601752315,0.39855837941962347,254
lr_y1_pooled,XNGUSD,2018,0.47296404019037547,0.3985986250661026,246
